Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
20-Oct,north dakota,244300,2678,756,28,282950.3316,3855
20-Oct,west virginia,169999,4629,1484,100,249794.6993,7554
20-Oct,idaho,419000,3278,2252,336,774045.6439,8541
20-Oct,montana,399000,3441,1112,56,779951.7163,7142
20-Oct,alaska,299900,2040,564,48,373785.6252,2164
20-Oct,south dakota,245000,2600,788,24,320634.7652,3496
20-Oct,missouri,225000,13590,6948,508,320200.6049,28203
20-Oct,new jersey,449000,29858,15556,608,651471.9132,44955
20-Oct,ohio,200000,17442,11504,564,292937.7076,40673
20-Oct,delaware,349900,2186,1192,376,476975.8339,5548
20-Oct,wisconsin,259900,12388,5736,128,350307.8055,21981
20-Oct,colorado,510000,15689,8832,1036,1062143.297,32276
20-Oct,maryland,359000,9861,7216,644,509475.4394,24740
20-Oct,iowa,215000,10228,3504,500,256347.4761,17898
20-Oct,alabama,251875,13101,5088,864,342838.5931,19989
20-Oct,louisiana,250900,11176,3312,292,349125.1633,18804
20-Oct,hawaii,639000,6564,1564,84,1210825.365,7752
20-Oct,kansas,210000,5385,2716,156,304746.1045,11257
20-Oct,massachusetts,639000,12823,8444,244,1106466.901,17439
20-Oct,maine,295000,4614,2036,56,448043.9151,6179
20-Oct,south carolina,285000,17165,6744,1520,448596.6272,31931
20-Oct,new york,589000,70659,21284,800,1226842.483,117312
20-Oct,georgia,327680,38662,19924,3232,462261.6129,77083
20-Oct,minnesota,299900,14669,7996,368,396217.3542,27035
20-Oct,washington,499922,12283,8444,1120,721853.4036,28576
20-Oct,california,730000,54623,38704,1836,1526038.793,114415
20-Oct,mississippi,229000,6296,2072,184,299064.7087,10360
20-Oct,illinois,259900,41561,17304,564,387739.1792,71570
20-Oct,florida,346112,99670,37308,5544,732111.9152,171798
20-Oct,vermont,325000,2518,800,20,497306.393,4163
20-Oct,indiana,219900,10490,6264,256,295548.6118,18901
20-Oct,new hampshire,374900,2690,2024,80,502805.5741,5288
20-Oct,utah,515000,5458,3820,472,996332.6216,15613
20-Oct,connecticut,385000,15921,5684,256,815335.1983,16105
20-Oct,rhode island,389900,1784,1332,24,726787.0645,4752
20-Oct,virginia,359900,18720,11120,1400,533171.4359,36976
20-Oct,arizona,390000,11708,9220,980,651580.7566,30090
20-Oct,pennsylvania,265000,24258,12304,776,391793.3926,48861
20-Oct,kentucky,229900,7641,3916,180,326025.863,16734
20-Oct,arkansas,207400,7695,2872,140,292919.1043,12108
20-Oct,tennessee,322900,13761,7740,860,473128.4246,28256
20-Oct,nebraska,245000,3777,1812,164,306392.1968,8400
20-Oct,michigan,249000,21463,11400,636,358894.4756,36810
20-Oct,oklahoma,227500,8602,3796,296,317402.4933,16379
20-Oct,oregon,469900,7903,4880,2228,633897.4355,19175
20-Oct,wyoming,279000,2335,700,44,611867.5394,3412
20-Oct,nevada,355000,9927,4672,412,610128.5529,12059
20-Oct,district of columbia,629000,1954,1240,24,932915.012,3129
20-Oct,north carolina,345000,22835,11840,1844,481666.6947,45558
20-Sep,alabama,259700,13451,5144,1072,344229.117,20726
20-Sep,montana,399949.5,3840,1304,96,776048,7918
20-Sep,alaska,310000,2237,724,48,371605.4919,2368
20-Sep,maryland,359450,9990,7508,844,508179.416,13958
20-Sep,minnesota,300000,15030,8820,464,403062.6709,28325
20-Sep,colorado,510000,17550,9820,864,1052174.638,35244
20-Sep,pennsylvania,264888.5,24460,12864,1072,387220.3003,38743
20-Sep,georgia,329900,39797,20288,3620,458987.428,80026
20-Sep,maine,298250,4770,2208,80,453300.2725,6367
20-Sep,wyoming,282500,2507,824,48,640335.3734,3667
20-Sep,idaho,414995,3749,2240,500,749755.9801,9395
20-Sep,new hampshire,372900,2803,2116,88,498584.5189,5486
20-Sep,district of columbia,649450,1736,1276,24,969743.4775,2124
20-Sep,north dakota,243400,2760,920,32,283854.6264,4047
20-Sep,new york,566500,69064,22152,892,1174647.296,113546
20-Sep,oregon,474950,8368,4956,2120,636133.3751,20621
20-Sep,wisconsin,264700,12972,6548,192,353580.5862,23300
20-Sep,illinois,262450,41878,19064,552,390585.4375,74353
20-Sep,north carolina,345300,23741,12064,2136,479687.0188,47130
20-Sep,washington,499950,13005,10388,1096,712092.1901,29844
20-Sep,tennessee,324975,14291,7796,1136,467371.5867,29388
20-Sep,south dakota,249950,2832,1040,52,323586.7041,3788
20-Sep,iowa,217400,10477,3668,564,256798.7663,18565
20-Sep,rhode island,399450,1791,1432,20,733871.7284,4729
20-Sep,texas,310776,69199,31064,5532,460173.7024,126195
20-Sep,virginia,361728,19025,11684,1364,530978.555,32945
20-Sep,kentucky,239900,7680,3864,232,328287.0173,16984
20-Sep,vermont,324950,2630,964,60,494224.6801,4364
20-Sep,oklahoma,229947.5,8763,3920,388,316871.0005,17031
20-Sep,south carolina,289000,17946,7076,1904,448768.1716,33120
20-Sep,hawaii,632500,6676,1596,68,1160938.891,7845
20-Sep,ohio,212400,16930,11532,736,296748.953,41217
20-Sep,new mexico,285450,5098,2060,156,448548.9354,9224
20-Sep,louisiana,253545,11956,3504,568,343346.5367,19804
20-Sep,florida,349000,101800,35428,6268,728182.2693,174932
20-Sep,massachusetts,642500,12478,9360,260,1116331.445,17196
20-Sep,nevada,355000,10177,5056,412,597034.6618,12592
20-Sep,arkansas,210000,8010,2948,188,294572.5471,12605
